SKU;Item Name;Brand;availability;SOH;Invoice Price ex GST;RRP Inc GST;Barcode;Shipping_Weight (Kg);Shipping_Length (Cm);Shipping_Width (Cm);Shipping_Height (Cm);Image_Link
99MO084244;Moshi Integra USB-C to USB-C Charge Cable (1m) (Silver);Moshi;in stock;6;34,17;99,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1312/images/01.jpg
99MO084245;Moshi Integra USB-C Charge Cable with Smart LED (Silver);Moshi;in stock;3;41,01;119,99;4,71E+12;0;2;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1313/images/01__1_.jpg
99MO022122;Moshi IonBank 3K with Lightning/USB Cable (Red);Moshi;in stock;5;41,01;119,99;4,71E+12;0;17,8;9,1;3,2;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1283/images/71thq6Z5NhL._SL1500_-800x800.jpg
99MO022123;Moshi IonBank 5K with Lightning/USB Cable (Grey);Moshi;in stock;3;51,26;149,99;4,71E+12;0;18,3;10,9;1,8;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1284/images/item_XL_11717285_16953570.jpg
99MO022144;Moshi IonSlim 5K;Moshi;in stock;6;34,17;99,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1288/images/05.jpg
99MO022145;Moshi IonSlim 10K;Moshi;in stock;2;58,09;169,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1289/images/05.jpg
99MO084204;Moshi USB-C Multiport Adapter;Moshi;in stock;63;73,04;139,99;4,71E+12;0;1,8;9,9;19,6;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/208/images/open-uri20180918-4448-1baali1.jpg
99MO022211;Moshi Otto Q Wireless Charging Pad (Grey);Moshi;out of stock;0;57,39;109,99;4,71E+12;0;2;11;19,5;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/917/images/Otto__Q_01_Top.jpg
99MO022213;Moshi Porto Q 5K;Moshi;out of stock;0;68,34;199,99;4,71E+12;0;17,7;11;2,01;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1292/images/01.jpg
99MO084217;Moshi Symbus Q (AU);Moshi;in stock;8;208,69;399,99;4,71E+12;0;18;15,5;5,5;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1311/images/99MO084217_1_2x.jpg
